url,type
funtaipeibackpackers.hostel.com/,benign
http://distractify.com/post/related/id/55526ac84a0c4b6154d5da68/skip/10/limit/10/back/0,benign
associatedcontent.com/article/1270442/2008_big_12_title_game_prediction_preview.html,benign
http://mail.inifapcirpac.gob.mx/Desarrollo/Sigin-inverify.html,phishing
http://www.metalsul.ind.br/site/index.php?option=com_contact&view=contact&id=6:ag-repres&catid=36:contatosrs,defacement
soundford.com/,benign
http://hamt.jp/program/wp-content/themes/twentyfourteen/home/latampass/cadastro/?cli=cliente&amp;/ryslsrt1da/997zf0q6ar.php,phishing
http://www.simmeurope.com/index.php?view=article&id=23:budget-economique-exploratoire-pour-lannee-2012&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=48,defacement
food.einnews.com/region/uk-ireland,benign
muzikcover.weebly.com/,benign
http://115.53.130.208:51467/Mozi.m,malware
paperbackswap.com/Canadian-Women-Artists-Lynn-Johnston/book/115589538X/,benign
thermasteelinc.com,phishing
youtube.com/watch?v=OwOdilHtMUU,benign
idahohotsprings.com/hot_springs/video.htm,benign
sonyinsider.com/,benign
livesoccertv.com/schedules/2009-10-10/,benign
ccauthority.com/news9.htm,benign
amazon.com/Dodge-City-Errol-Flynn/dp/B0007OY2NK,benign
moviemusic.com/soundtrack/M02742/cavemansvalentine/,benign
system2018.at.ua,phishing
consumer.public-record.com/suntimes/background-checks/matteson,benign
heart.org/HEARTORG/Conditions/More/CardiacArrest/Cardiac-Arrest_UCM_002081_SubHomePage.jsp,benign
thetvnet.com/tag/galt-macdermot.aspx,benign
myspace.com/roosterofficialmusic,benign
macleans.ca/2010/06/01/senator-pitfield/,benign
justice4caylee.forumotion.net/t2952-robert-flynn-15-yo-2009-hubbard-township-oh,benign
corporationwiki.com/people/index.aspx/L/7/39/,benign
'freebutterflyphotos.com/Remax-ion/Secure Login.html',benign
kffl.com/player/21269/NFL,benign
aep.com/newsroom/newsreleases/?id=838,benign
lawyers.justia.com/lawyers/pennsylvania/uniontown,benign
en.wikipedia.org/wiki/Berri-UQAM_(Montreal_Metro),benign
http://torcache.net/torrent/858CF268BFAB91C30CDCF5C91DB78EFE36992734.torrent?title=[kickass.to]wwe.raw.11.25.13.dsr.xvid.xwt.sparrow,benign
http://www.latablepaysanne.fr/index.php?option=com_content&view=article&id=11&Itemid=4,defacement
http://www.fritec.nl/index.php/service/fotos/2-fritec-software/detail/21-tegraprinter?tmpl=component,defacement
hoclaptrinhfree.com,phishing
nets.eu-aktivbank.id82732738-centre.refa872afd92jd.com-info-dec.perfectupdate.com.blogerium.com/.cach/f8010b21cdf7799da679a78561e25078/,benign
http://42.235.38.141:56462/Mozi.m,malware
musielektronik.com/facte/,benign
http://www.banneton.com.au/newproducts/49-coffee-app.html,defacement
http://www.markeven.it/blog/category/news/index.html,defacement
oops.eb2a.com/login/pay/index.html?id=188,benign
http://amusementlamp.com/en/TSMC-invests-in-LED-manufacturing-line.html,defacement
imdb.com/name/nm0147582/,benign
ebay.com/sch/i.html?LH_SellerWithStore=1&_nkw=fonseca&_armrs=1&_from=&_ipg=,benign
dreamindemon.com/forums/showthread.php?166-Today-in-History/page14,benign
http://snip.ly/8j64x,phishing
sosial-bloking.000webhostapp.com,phishing
cafepress.com/+jett+t-shirts,benign
http://cheezburger.com/8491540224/superheroes-deadpool-marvel-action-in-this-new-set-photo?ref=leftarrow&siteId=91,benign
http://www.tlcllc.com/home/7-ron-potter-blog/87-listening.html,defacement
hockeydb.com/ihdb/stats/pdisplay.php?pid=73774,benign
pipl.com/directory/people/Darko/Kolic,benign
http://www.hotsource.ch/index.php?option=com_content&view=article&id=88&Itemid=103,defacement
100hot.com/hot100/ws/results/Web/92!FE5%20Montreal/1/302363/RightNav/Relevance/iq=true/zoom=off/qlnk=1/_iceUrlFlag=7?_IceUrl=true,benign
euroboor.com.ua/images/banners/support/natwest.co.uk/ibcarregister-natwst.html,benign
cyndislist.com/us/sc/counties/,benign
en.wikipedia.org/wiki/Noah_Chazzman,benign
servinghistory.com/topics/Montreal_Expos,benign
123people.com/s/connie+ray,benign
www.babinet.cz/avatars/19889/hires/dir/af7f88fe4bdd830d1c9c1d4ea7b9f9ba/,benign
expedia.com/Lacock-Abbey-Hotels.0-l6092207-0.Travel-Guide-Filter-Hotels,benign
vintagecardprices.com/search.php?action=getSets&fname=Satchel&lname=Paige&sa=1&cat=1&hof=1&multi_player=0,benign
stagevu.com/channel/65,benign
twitter.com/acfit,benign
http://www.sogm.net.br/index.php?option=com_rsform&Itemid=68,defacement
linkedin.com/pub/dir/don/budge,benign
songs.freemidipromidi.com/Gold_Andrew/,benign
http://manola-souvanlasy.com/index.php?option=com_content&view=article&id=99:role-des-reins-dans-la-fecondite-et-linfertilite&catid=37:medecine-chinoise&Itemid=62,defacement
wemf.com/artists/,benign
crookedjades.com/about.html,benign
http://eu-chinadebtsolutions.com/index.php/zh/job-search,defacement
rense.com/health/phages.htm,benign
erinmoranofficialwebsite.com/,benign
http://olx.in/hi/item/idea-hindi-call-center-freshers-apply-mayur-vihar-1-rohini-IDWjzvf.html,benign
imdb.com/title/tt1231460/,benign
mma-core.com/fighters/_%20Rob_The_Rosedale_Reaper_Kimmons?fid=101698,benign
http://www.solarix.com.pl/map/index.php,defacement
http://db.clickexperts.net/mailtrack3/server/redirect.php?user=53230600&amp;email=2610&amp;cid=aa567054dfb4b26mail&amp;url=https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCWRPAbzBVzaoRnfWmnhaXBg,phishing
